Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sao Tome and Principe,STP,43.648,53.424,64.952,66.064,67.16,68.208,69.213,70.174,71.092,71.968,72.803,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Saudi Arabia,SAU,76.583,79.848,82.084,82.302,82.52,82.74,82.96,83.18,83.401,83.622,83.844,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Senegal,SEN,38.896,40.32,43.773,44.188,44.603,45.019,45.436,45.862,46.296,46.74,47.192,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Serbia,SRB,50.393,52.769,54.993,55.215,55.356,55.469,55.583,55.696,55.81,55.942,56.092,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Seychelles,SYC,49.27,50.433,53.336,53.72,54.12,54.537,54.969,55.4,55.831,56.261,56.691,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sierra Leone,SLE,33.252,35.626,38.856,39.248,39.642,40.036,40.432,40.829,41.228,41.636,42.055,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Singapore,SGP,100,100,100,100,100,100,100,100,100,100,100,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sint Maarten (Dutch part),SXM,100,100,100,100,100,100,100,100,100,100,100,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Slovak Republic,SVK,56.491,56.233,54.685,54.42,54.28,54.14,54,53.889,53.806,53.751,53.726,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Slovenia,SVN,50.39,50.754,52.658,52.883,53.108,53.332,53.557,53.781,54.02,54.273,54.541,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Solomon Islands,SLB,13.677,15.813,20.048,20.508,20.97,21.433,21.896,22.36,22.823,23.286,23.749,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Somalia,SOM,29.658,33.247,39.31,41,41.558,42.117,42.679,43.245,43.816,44.391,44.971,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,South Africa,ZAF,52.037,56.891,62.218,62.746,63.272,63.793,64.312,64.828,65.341,65.85,66.355,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,South Sudan,SSD,13.276,16.504,17.86,18.032,18.217,18.415,18.626,18.852,19.092,19.346,19.615,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Spain,ESP,75.351,76.262,78.442,78.673,78.902,79.133,79.366,79.602,79.84,80.08,80.321,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sri Lanka,LKA,18.535,18.38,18.226,18.211,18.196,18.198,18.218,18.256,18.311,18.384,18.476,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,St. Kitts and Nevis,KNA,34.609,32.778,31.322,31.182,31.062,30.964,30.885,30.827,30.79,30.773,30.776,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,St. Lucia,LCA,29.349,27.774,18.45,18.45,18.45,18.461,18.482,18.515,18.558,18.612,18.678,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,St. Vincent and the Grenadines,VCT,41.409,45.186,48.961,49.356,49.754,50.154,50.558,50.964,51.373,51.784,52.198,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sudan,SDN,28.61,32.495,33.089,33.207,33.346,33.507,33.689,33.894,34.121,34.37,34.642,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Suriname,SUR,65.706,66.444,66.344,66.276,66.208,66.14,66.089,66.056,66.04,66.041,66.06,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sweden,SWE,83.1,84.026,85.056,85.297,85.62,85.936,86.247,86.553,86.852,87.146,87.431,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Switzerland,CHE,73.926,73.383,73.607,73.631,73.653,73.674,73.696,73.718,73.739,73.761,73.797,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Syrian Arab Republic,SYR,48.931,51.947,55.6,54.58,53.555,52.529,51.5,52.168,52.835,53.5,54.162,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Tajikistan,TJK,31.658,26.501,26.52,26.521,26.545,26.589,26.655,26.742,26.851,26.982,27.134,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Tanzania,TZA,18.884,22.309,28.114,28.798,29.493,30.196,30.904,31.617,32.333,33.053,33.776,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Thailand,THA,29.424,31.386,43.856,44.698,45.445,46.193,46.943,47.694,48.448,49.2,49.949,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Timor-Leste,TLS,20.842,24.263,27.732,28.079,28.428,28.779,29.133,29.49,29.85,30.212,30.578,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Togo,TGO,28.589,32.907,37.533,38.032,38.546,39.061,39.579,40.1,40.628,41.162,41.702,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Tonga,TON,22.704,23.012,23.389,23.443,23.435,23.382,23.328,23.275,23.222,23.169,23.131,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Trinidad and Tobago,TTO,54.124,55.905,54.025,53.836,53.671,53.53,53.413,53.319,53.25,53.205,53.184,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Tunisia,TUN,57.946,63.432,66.657,66.938,67.218,67.495,67.772,68.056,68.346,68.642,68.945,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Turkey,TUR,59.203,64.741,70.825,71.402,71.974,72.531,73.077,73.611,74.134,74.644,75.143,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Turkmenistan,TKM,45.075,45.913,48.491,48.825,49.175,49.541,49.921,50.317,50.728,51.153,51.593,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Turks and Caicos Islands,TCA,74.343,84.55,90.228,90.668,91.09,91.483,91.851,92.195,92.517,92.817,93.098,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Tuvalu,TUV,40.661,46.018,54.796,55.807,56.815,57.814,58.786,59.73,60.645,61.53,62.387,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Uganda,UGA,11.076,14.786,19.383,19.898,20.424,20.958,21.504,22.06,22.624,23.196,23.774,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Ukraine,UKR,66.757,67.145,68.596,68.689,68.782,68.875,68.968,69.061,69.154,69.246,69.352,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,United Arab Emirates,ARE,79.051,80.236,84.087,84.423,84.749,85.066,85.375,85.674,85.965,86.248,86.522,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,United Kingdom,GBR,78.14,78.651,81.302,81.57,81.837,82.102,82.365,82.626,82.886,83.143,83.398,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,United States,USA,75.3,79.057,80.772,80.944,81.119,81.299,81.483,81.671,81.862,82.058,82.256,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Uruguay,URY,88.973,92.028,94.414,94.612,94.739,94.843,94.945,95.045,95.144,95.24,95.334,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Uzbekistan,UZB,41.365,46.126,50.956,51.15,51.05,50.95,50.85,50.75,50.65,50.55,50.478,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Vanuatu,VUT,18.715,21.673,24.462,24.561,24.661,24.761,24.861,24.961,25.062,25.163,25.274,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Venezuela, RB",VEN,84.284,87.559,88.083,88.108,88.123,88.133,88.144,88.154,88.165,88.183,88.208,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Vietnam,VNM,20.257,24.374,30.417,31.08,31.752,32.429,33.115,33.809,34.51,35.213,35.919,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Virgin Islands (U.S.),VIR,87.685,92.586,94.594,94.761,94.919,95.07,95.213,95.35,95.48,95.603,95.721,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,West Bank and Gaza,PSE,67.709,71.969,74.149,74.381,74.619,74.863,75.113,75.368,75.628,75.894,76.164,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Yemen, Rep.",YEM,20.931,26.267,31.776,32.364,32.958,33.559,34.165,34.777,35.394,36.016,36.642,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Zambia,ZMB,39.407,34.802,39.355,39.851,40.354,40.865,41.382,41.907,42.438,42.976,43.521,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Zimbabwe,ZWE,28.988,33.758,33.196,33.015,32.834,32.654,32.504,32.385,32.296,32.237,32.209,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Arab World,ARB,50.3952484902126,52.9893021963685,56.4408791933362,56.7919478898403,57.0985374409452,57.4009387122083,57.6924802355379,58.0314666759024,58.3452752760698,58.6414834927347,58.9254185931391,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Caribbean small states,CSS,48.7971746079503,50.2480679137205,50.4340574675408,50.456239675626,50.5180252982433,50.5913146585053,50.6801361784138,50.7846840272758,50.9063925920291,51.0446216815061,51.1993615776132,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Central Europe and the Baltics,CEB,61.3918489105076,61.4761873574983,62.0260650244198,62.0639344852314,62.0817769738868,62.0968137366794,62.1136451427738,62.1406832491248,62.1844790946334,62.2485537613647,62.3320760627627,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Early-demographic dividend,EAR,34.939119909998,38.3342453056608,41.9998806600881,42.3785708834652,42.7590233392676,43.1435909274362,43.5319846032163,43.9299787727318,44.3277678165673,44.7270353172155,45.1312566986719,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,East Asia & Pacific,EAS,33.9576141185588,41.4207562572884,51.945337432181,52.8768815884615,53.7740094965433,54.6636501438447,55.5523754469137,56.4384209579409,57.3214591494905,58.1965638817572,59.0527886714373,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,East Asia & Pacific (excluding high income),EAP,28.103169543017,36.5644769422517,47.6203825388378,48.661738238371,49.6752439318617,50.681910529234,51.6858376202661,52.6853247515958,53.6815997421951,54.6695348784554,55.6335882382637,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,27.7142624998707,36.2710641712784,47.4581711710385,48.5107739597268,49.5351130988039,50.5524919038507,51.5670600273284,52.5771022562816,53.5836815868044,54.581614905368,55.5550920185359,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Euro area,EMU,71.2200201807131,72.9421663791117,75.2816981830028,75.509022879626,75.7236934634696,75.9291216578059,76.1281387053755,76.3397020364095,76.5543043808563,76.7699188658867,76.9917327106284,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Europe & Central Asia,ECS,67.590511641657,68.7214382467052,70.7487588168112,70.9245512049277,71.0991515759323,71.2712652158374,71.4432171619628,71.6219247199629,71.8055944841346,71.9910658774292,72.1835105010589,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Europe & Central Asia (excluding high income),ECA,63.028384169192,63.8626339823967,65.6360804143785,65.7988996726298,65.9534615690012,66.1080182314676,66.2655378880993,66.4280326081937,66.5962263281727,66.76903432485,66.9473805143823,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,62.7369090667724,63.5655097584427,65.1228198987909,65.2647020408161,65.3984723826267,65.5332401642433,65.6712050518983,65.8145985008816,65.9652866045441,66.1226639546601,66.2868323125935,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,European Union,EUU,70.4200113216172,71.7696504227865,74.0090595540191,74.2226044292291,74.4263589678927,74.623311244212,74.8173163186038,75.0226115695433,75.2333074494743,75.4464923946121,75.6656484657532,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Fragile and conflict affected situations,FCS,32.6545648161174,35.7513225667135,38.727805238027,39.0293262929825,39.314900010143,39.6156146575728,39.928859702796,40.316575353037,40.7065960605919,41.1012272497328,41.5068290622002,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Heavily indebted poor countries (HIPC),HPC,25.4118900271845,28.7255217571738,32.470697615945,32.9153280280704,33.3419289066773,33.7688407539185,34.201294634656,34.641468801197,35.0890803997938,35.5443922880076,36.0084652627508,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,High income,HIC,74.2603306442061,76.6729639997514,79.9155955032324,80.121242530739,80.2943860258341,80.4625126196037,80.6297511961333,80.8022128299287,80.9765986304945,81.1544519764178,81.3349783647456,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,IBRD only,IBD,38.387039358204,43.5469512956056,50.027162795415,50.6596359795293,51.2855477366696,51.9109918077332,52.5368678326598,53.1603647855854,53.7823647380138,54.4019831161658,55.0124279996674,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,IDA & IBRD total,IBT,35.926057579521,40.4522209174995,46.0944897411156,46.6442741438672,47.1845596565483,47.724081013109,48.2641268035898,48.8075193598832,49.3495993246101,49.8896193723405,50.4222017748257,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,IDA blend,IDB,30.6075202490994,34.1232912719184,38.7413656174561,39.2125917391633,39.6567631239856,40.1029026351629,40.5525046027657,41.0052881488064,41.4597013002718,41.9155207848192,42.3804250236419,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,IDA only,IDX,23.2270547634708,26.484115841792,30.6787495364308,31.1106266936242,31.5277152631994,31.9467500906982,32.3754635055031,32.8469868705746,33.3274338420681,33.8165006946649,34.3159699173835,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,IDA total,IDA,25.7334765843223,29.0684389075126,33.3999186507852,33.8486283045195,34.2773241440978,34.7080606561449,35.1461678232291,35.6131168201913,36.0858796908057,36.5641806829238,37.0518650600215,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Late-demographic dividend,LTE,38.7604966408223,45.6030444289601,55.3033034216565,56.2335557479902,57.1401554975382,58.0378123285694,58.9320780826094,59.8225736921212,60.7087954239268,61.5864821123801,62.4450990246255,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Latin America & Caribbean,LCN,70.6725041415995,75.4746965043115,78.5267610666317,78.8036068756718,79.0751681437199,79.3403066340881,79.6000765092068,79.8540130312268,80.1015736199983,80.3440502150362,80.5832909863671,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Latin America & Caribbean (excluding high income),LAC,70.1118422912535,75.0434234641867,78.2456963486687,78.5370601129727,78.8228946890549,79.1015244650238,79.3743199188564,79.6403526503862,79.8989036388271,80.1516775255291,80.4016255969999,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,70.4296427164847,75.3487628736066,78.4837233244933,78.7684867225811,79.0475555723507,79.3205577177259,79.5884431960378,79.8500986595352,80.1050614453924,80.3546371985818,80.6014123164288,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Least developed countries: UN classification,LDC,21.5091040673711,25.0240866391974,29.4653155431652,29.9767766102573,30.4776716582344,30.9807349547645,31.4886994868221,32.0012686241627,32.5185151687389,33.0405321715901,33.568060082099,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Low & middle income,LMY,35.6963606561458,40.2713196482886,45.9660205065247,46.5207143069685,47.0659960291113,47.6103446456889,48.1549727727069,48.7026612350103,49.248569604555,49.7919979631628,50.3278442398155,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Low income,LIC,23.268105350077,26.1508335317653,29.5727082436299,29.9140076042247,30.2309749978618,30.5512274079951,30.8863850291928,31.2873622959038,31.7016512701478,32.1289921646015,32.5722038899212,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Lower middle income,LMC,29.7946686810305,32.983802585578,36.9380450630453,37.3635339549483,37.7917650095363,38.2269032945861,38.6682805830304,39.1176455874562,39.5731870618384,40.0360142653164,40.5078897764183,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Middle East & North Africa,MEA,54.9404442331794,58.5956742955636,62.656620837851,63.0020017003942,63.3402890474028,63.674322747088,64.0000695782906,64.3709008106138,64.7195475050848,65.0525795492706,65.3719743231147,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Middle East & North Africa (excluding high income),MNA,51.7674708866369,55.4468294851353,59.0509548191829,59.3424433747814,59.6375022268567,59.9402257031459,60.2416638836733,60.6016305470766,60.9416846531516,61.2705251900232,61.5905475175283,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Middle East & North Africa (IDA & IBRD countries),TMN,51.6268601003718,55.2721271034165,58.8772007814101,59.1680959369609,59.4626572621304,59.7650187508709,60.0660759466011,60.4263378050077,60.7664050996666,61.095448226652,61.4145429982846,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Middle income,MIC,36.743865798084,41.6192361575699,47.7907993148667,48.3947546962944,48.9908828221405,49.5859950671993,50.1810819818106,50.7738693398268,51.3649982539434,51.9536177517042,52.5342574698536,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,North America,NAC,75.433269385553,79.102424122048,80.7919856987222,80.9626422241652,81.1243012759744,81.2903741323439,81.4598720092243,81.6330941870292,81.8087699963432,81.9896533625039,82.1731548388538,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,OECD members,OED,73.2160858539094,75.7232389653102,79.0505205409302,79.2672538255332,79.4538350746471,79.6377147649518,79.8212875304,80.0096038638949,80.2005021191539,80.3951672458701,80.5933075710504,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Other small states,OSS,45.4121395707558,49.8209902669071,57.4766600771289,58.2467809572079,58.9122885949953,59.4973871821482,60.0547692281278,60.5953654613588,61.1179903687112,61.6246354891074,62.1180381474502,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Pacific island small states,PSS,31.5111765551262,34.5438807002668,36.8585337380262,37.1078306792137,37.3390131056972,37.5635862869273,37.8026175157066,38.041259603629,38.2907357416781,38.5304686134184,38.7813441179116,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Post-demographic dividend,PST,74.0603494537475,76.4692846091502,79.8551061186935,80.0639782570373,80.2373364345989,80.4049521489009,80.5730546338616,80.7459607801151,80.9204443180372,81.0987661779984,81.2806947844979,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Pre-demographic dividend,PRE,28.3426850158945,32.069050504144,36.8724270933765,37.4221737528511,37.961991742767,38.5052085341605,39.0497427304953,39.5938901250117,40.1368381981726,40.6808140791446,41.2269515142477,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Small states,SST,45.2843733960703,48.8956405733822,54.7873202307851,55.4038027227389,55.950375849839,56.4393163500603,56.9121851866075,57.3772147691502,57.833585795942,58.2818794349659,58.7244240705329,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,South Asia,SAS,25.0648202379086,27.3813026238155,30.8173672497107,31.1838911739091,31.5607072640053,31.9444456764314,32.3368459178729,32.7375612918406,33.1463250923278,33.5641371405013,33.9923612456427,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,South Asia (IDA & IBRD),TSA,25.0648202379086,27.3813026238155,30.8173672497108,31.1838911739091,31.5607072640053,31.9444456764314,32.3368459178729,32.7375612918406,33.1463250923278,33.5641371405013,33.9923612456427,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sub-Saharan Africa,SSF,27.3640811686932,31.35364920515,35.9983826938931,36.5238556179803,37.0372293348024,37.5511126300957,38.0691040304669,38.5910727362463,39.1161646131931,39.6446620067182,40.1768233729515,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sub-Saharan Africa (excluding high income),SSA,27.3610920295561,31.3513223579953,35.9965915388542,36.5221717237434,37.0355854852706,37.5494923302212,38.0675104625981,38.5894951510559,39.1146168225524,39.6431453667406,40.175341337803,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,27.3640811686932,31.35364920515,35.9983826938931,36.5238556179803,37.0372293348024,37.5511126300957,38.0691040304669,38.5910727362463,39.1161646131932,39.6446620067182,40.1768233729515,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Upper middle income,UMC,43.0468820338536,50.1261943734951,59.4726276821499,60.3639997484894,61.2340771237281,62.0934983556894,62.9456603674218,63.7865780596604,64.6165589908403,65.433615735698,66.2333682980853,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,World,WLD,43.0311324284078,46.6890596387442,51.6452100333424,52.1028920587932,52.5540097108524,53.0045440772896,53.4569510115889,53.9133732048583,54.3696452042357,54.8222417409343,55.2705785486132,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 12/20/2019,,,,,,,,,,,,,,,
